base_L2@1s,base_L2@2s,base_L2@3s,base_avgL2@1s,base_avgL2@2s,base_avgL2@3s,base_coll@1s,base_coll@2s,base_coll@3s,base_cumColl@1s,base_cumColl@2s,base_cumColl@3s,base_meanColl@1s,base_meanColl@2s,base_meanColl@3s,base_status,command,got_L2@1s,got_L2@2s,got_L2@3s,got_avgL2@1s,got_avgL2@2s,got_avgL2@3s,got_beats_base,got_cand_cmd,got_cand_kin,got_cand_total,got_cand_vals,got_candidate_spread,got_coll@1s,got_coll@2s,got_coll@3s,got_cumColl@1s,got_cumColl@2s,got_cumColl@3s,got_meanColl@1s,got_meanColl@2s,got_meanColl@3s,got_minADE_C,got_n_candidates,got_oracle_L2@1s,got_oracle_L2@2s,got_oracle_L2@3s,got_oracle_avgL2@1s,got_oracle_avgL2@2s,got_oracle_avgL2@3s,got_pred,got_selection_gap_L2@1s,got_selection_gap_L2@2s,got_selection_gap_L2@3s,got_selection_gap_avgL2@1s,got_selection_gap_avgL2@2s,got_selection_gap_avgL2@3s,got_selection_rank,got_selection_top1,got_status,got_worst_candidate,mean_coll@1s,mean_coll@2s,mean_coll@3s,mean_cumColl@1s,mean_cumColl@2s,mean_cumColl@3s,mean_meanColl@1s,mean_meanColl@2s,mean_meanColl@3s,sample_token,scene,seed
0.0063,0.0092,0.1641,0.0054,0.007,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,False,"[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.1305]","[-0.013, -13.553, -82.1925, -147.9624, -1832.3868, -5747.8934, -32472.6452, -1560602.7367]","[2.4368, 2.4367, 2.4367, 2.4364, -1001830.7171, -1005746.2238, -1032470.9755, -2560601.0669]","[0.035, 0.081, 0.214, 0.407, 0.974, 0.831, 1.736, 12.587]",3.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,8.0,0.0063,0.0092,0.1641,0.0054,0.007,0.0345,"[[-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0], [-0.026, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,12.5873,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.8333333333333334,fd8420396768425eabec9bdddf7e64b6,scene-0003,43
0.1224,0.145,1.5888,0.2151,0.1712,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,True,"[-0.0, -0.0, -0.0, -0.0, -0.0653, -0.0653, -0.0, -0.0]","[-21.6175, -29.4211, -48.7161, -341.3726, -53.1768, -1434.6234, -1906.745, -15794.2883]","[3.6179, 3.6163, 3.6125, 3.555, 1.3023, -1001432.0608, -1001904.1825, -1015791.7258]","[0.326, 0.385, 0.337, 0.367, 0.378, 1.052, 0.76, 1.482]",0.4017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257,8.0,0.1224,0.145,1.0178,0.2151,0.1712,0.3257,"[[1.116, 0.0], [1.687, 0.0], [2.258, 0.0], [2.544, 0.0], [3.4, 0.0], [4.542, 0.0]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,1.4816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6b9af38cbf654171870cb14b4ae89fd6,scene-0003,43
0.0852,0.5533,2.8013,0.2338,0.2781,0.6874,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.16666666666666666,ok,straight,0.0852,0.5533,2.3419,0.2338,0.4167,0.7032,False,"[-0.0, -0.0, -0.0653, -0.0, -0.1305, -0.0653, -0.3916, -0.0653]","[-238.9652, -307.2717, -359.1919, -2313.7466, -2464.5169, -4194.3349, -4523.7389, -11677.7481]","[3.0869, 3.0678, 2.5174, -1002312.246, -1002463.0163, -1004192.8343, -1004522.2382, -1011676.2475]","[0.703, 0.611, 0.988, 0.875, 1.842, 1.351, 2.239, 1.403]",0.5337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6109,8.0,0.0852,0.5533,2.3419,0.2338,0.2781,0.6109,"[[0.259, 0.0], [1.116, 0.0], [2.258, 0.0], [2.544, 0.0], [2.544, 0.0], [5.113, 0.0]]",0.0,0.0,0.0,0.0,0.1385,0.0923,1.0,0.0,ok,2.2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37b3d16060b442d5b6175cbebefd09a7,scene-0003,43
0.6693,1.5328,1.7145,0.6282,1.0243,1.3773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6693,1.5328,1.7145,0.6282,1.0243,1.3297,True,"[-0.0, -0.0, -0.0653, -0.1305, -0.1958, -0.3916, -0.0, -0.7833]","[-46.4526, -118.1426, -110.5929, -142.2286, -568.1239, -730.0454, -7561.678, -10676.3269]","[3.6219, 3.5276, 3.2735, 3.0852, -1000565.9722, -1000727.8178, -1007559.4504, -1010674.1752]","[1.33, 1.284, 0.92, 1.765, 1.124, 1.292, 2.084, 2.297]",0.4531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9199,8.0,0.3845,1.5328,0.0958,0.4904,0.9555,0.9199,"[[1.116, 0.0], [2.544, 0.0], [3.686, 0.0], [5.113, 0.0], [5.97, 0.0], [7.398, 0.0]]",0.2848,0.0,1.6188,0.1377,0.0689,0.4098,4.0,0.0,ok,2.2969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08254b97198045d98009af51d144d147,scene-0003,43
0.3278,1.3075,1.7098,0.2143,0.6082,0.9387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,True,"[0.8486, 0.2611, 1.6971, 0.2611, 1.2402, 0.8486, 0.5875, -6.2011]","[-259.7881, -527.8774, -7549.3836, -236728.9325, -2551.4627, -3035.4111, -8200.1176, -10361.7412]","[1.4123, 1.1605, -1007548.7887, -1236728.3376, -2003996.0029, -2004479.9513, -2009644.6578, -2011806.2814]","[0.919, 1.003, 1.97, 10.878, 1.426, 1.543, 2.024, 4.239]",3.1331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9186,8.0,0.3278,1.1167,1.7098,0.2143,0.5605,0.9186,"[[3.4, 0.0], [6.827, 0.131], [10.539, 0.261], [13.108, 0.522], [17.391, 0.783], [21.389, 1.697]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,10.8781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88a090c54cc844cc878f00d08274a683,scene-0012,43
0.3311,0.5222,1.8555,0.326,0.434,0.8542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.289,0.5222,1.8555,0.5904,0.5662,0.9884,False,"[-0.1305, -0.1305, -0.1958, -2.3499, -1.436, -0.718, -0.1305, -0.3264]","[-280.4431, -178.253, -140.8038, -2160.1048, -3369.1545, -9856.2769, -57614.3688, -675754.6348]","[3.5405, 1.6297, 1.544, -1002157.7062, -1003366.7559, -1009853.8784, -1057613.8815, -1675754.1475]","[0.988, 0.9, 1.311, 1.547, 1.403, 1.781, 5.306, 8.843]",2.6567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9002,8.0,0.3311,0.5222,1.8555,0.326,0.434,0.9002,"[[5.399, 0.0], [9.396, 0.0], [14.25, -0.131], [18.819, -0.131], [24.815, -0.261], [29.669, -0.261]]",-0.0421,0.0,0.0,0.2645,0.1322,0.0882,1.0,0.0,ok,8.8435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f33e0c3f5d5c426593af8af1c27b68b8,scene-0012,43
1.7592,4.8823,7.162,1.3042,2.8724,4.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,right,1.7592,4.0134,3.0069,1.3042,2.6624,2.9773,True,"[2.3499, 1.5013, 1.2402, 1.2402, 0.9791, 2.3499, 1.6971, 0.9791]","[-286.634, -258.3687, -590.5637, -15.6665, -3178.9087, -28789.0006, -32464.9858, -843150.3858]","[3.8199, 2.1819, 1.6767, 0.7048, -1003178.0326, -1028788.1246, -1032463.1358, -1843149.5098]","[2.977, 3.094, 3.908, 4.048, 2.464, 4.283, 4.331, 10.715]",2.4417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4636,8.0,1.7592,4.8823,2.3115,1.3042,2.8724,2.4636,"[[4.257, -0.131], [8.54, -0.261], [12.537, -0.261], [17.677, -1.567], [22.531, -2.611], [29.098, -4.7]]",0.0,-0.8688,0.6954,0.0,-0.21,0.5137,1.0,0.0,ok,10.7152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,045ecf94b83648229500b23058af3117,scene-0012,43
1.589,1.3397,2.2393,1.4364,1.4687,1.5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,left,1.2998,1.3397,2.7413,1.5764,1.5387,1.6741,False,"[0.8486, 0.8486, 0.7833, 0.8486, -5.8747, -8.2899, -7.7024, 0.9791]","[-558.9316, -1011.7982, -3043.9875, -5825.4163, -8216.1286, -25142.4658, -32962.4727, -112168.35]","[3.7352, 2.5739, -1003042.8161, -1005823.0964, -1008214.9573, -1025140.146, -1032961.3014, -1112166.0301]","[1.674, 1.435, 1.788, 2.426, 3.972, 4.58, 5.158, 4.606]",1.4294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4345,8.0,1.5524,0.2249,2.7413,1.4151,1.1794,1.4345,"[[3.115, 0.0], [7.683, 0.783], [11.11, 0.392], [15.393, 0.783], [19.104, 1.697], [24.815, 1.697]]",-0.2526,1.1148,0.0,0.1613,0.3593,0.2396,1.0,0.0,ok,5.1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818d76fdbcf49029de0e316a26f8903,scene-0012,43
0.6657,2.1543,5.354,0.6004,1.3545,2.4306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.6657,2.4356,4.2266,0.6004,1.2833,2.1952,True,"[-0.0, -0.0, -0.0, -0.0653, -0.4569, -0.8486, -0.3264, -0.718]","[-83.199, -228.7883, -197.9997, -3561.2752, -4592.8825, -4962.7934, -30873.5615, -55232.0197]","[4.8155, 4.8077, 4.7422, -1003558.1261, -1004589.7334, -1004959.5772, -1030870.3452, -1055228.8706]","[2.195, 1.678, 2.207, 3.292, 3.087, 2.966, 4.298, 5.117]",1.0722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6781,8.0,0.6657,2.4356,2.289,0.6004,1.2833,1.6781,"[[3.686, 0.0], [6.827, 0.0], [10.539, 0.0], [14.25, 0.0], [18.248, 0.0], [20.818, 0.0]]",0.0,0.0,1.9376,0.0,0.0,0.5171,1.0,0.0,ok,5.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b9c60cfaf1814c8bb363037dec7abd35,scene-0013,43
0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,straight,0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,False,"[-0.0653, -0.0, -1.2402, -0.0653, -0.5222, -0.3264, -5.1567, -0.0]","[-291.4101, -862.6561, -1979.9085, -2476.3123, -5100.9215, -6732.3264, -6816.5685, -10115.4408]","[4.2284, -1000860.9905, -1001978.2429, -1002474.6467, -1005099.256, -1006729.8592, -1006814.1014, -1010112.9736]","[0.483, 1.412, 3.934, 1.061, 2.816, 1.945, 3.363, 2.56]",1.1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4828,8.0,0.2074,0.4271,0.6538,0.1519,0.3617,0.4828,"[[3.4, 0.0], [6.541, 0.0], [10.539, 0.0], [12.823, 0.0], [16.249, 0.0], [19.961, -0.131]]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok,3.9338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615d82e7e8546fea5f181157f42e30b,scene-0013,43
